〆木,しめき
墨井,すみい
墨友,すみとも
墨屋,すみや
墨山,すみやま
墨岡,すみおか
墨崎,すみさき
墨川,すみかわ
墨本,すみもと
墨村,すみむら
墨東,ぼくとう
墨林,すみばやし
墨江,すみえ
墨田,すみた,すみだ
墨矢,すみや
墨絵,すみえ
墨藤,ぼくとう
墨谷,すみたに,すみや
墨野倉,すみのくら
墫,はなわ,ばん
墫野,そんの,はんの
墳下,つかした
墳原,つかはら
墳崎,つかさき,つかざき
墳本,つかもと
墹仲,ままなか
墻,かき
墻内,かいと
墾,あらき
壁,かべ
壁下,かべした
壁井,かべい
壁内,かべうち
壁口,かべくち
壁地,かべち
壁坂,かべさか
壁寸,かべす
壁屋,かべや
壁山,かべやま
壁岸,かべぎし
壁島,かべしま
壁巣,かべす
壁広,かべひろ
壁打,かべうち
壁本,かべもと
壁村,かべむら
壁瀬,かべせ,へきせ
壁田,かべた,かべだ
壁矢,かべや
壁石,かべいし
壁総,かべふさ
壁腰,かべこし
壁舘,かべたて
壁谷,かべたに,かべや,へきや
壁谷沢,かべやさわ,かべやざわ
壁谷澤,かべやさわ,かべやざわ
壁野,かべの
壁館,かべたて
壇,だん
壇ノ原,だんのはら
壇上,だんじょう
壇之浦,だんのうら
壇原,だんはら
壇崎,だんさき
壇浦,だんうら
壇田,だんた
壇谷,だんや
壇辻,だんつじ
壇野,だんの
壌,じょう
壕,ほり
壙,はらし
士井,しい
士別,しべつ
士反,したん
士坪,しつぼ
士堅,しかた
士屋,しや
士師,はし
士方,しかた
士水,しみず
士津田,しずた
士浦,しうら
士田,した
士竪,しがた
士農,しのう
士野,しの
壬,みぶ
壬生,いくるみ,うお,しんせい,じんお,じんおい,じんせい,にいう,におい,にふ,にぶ,にゅう,のしお,ぶみ,みお,みのう,みぶ,みぶの
壬生倉,におくら
壬生塚,みぶつか
壬生川,にぶがわ
壬生田,みぶた
壬生野,みぶの
壮,そう
壮子,おのこ
壮山,そうやま
声元,こえもと
声本,こえもと
声高,こえだか
壱ツ石,ひとついし
壱丁,いちちょう
壱丁田,いちちょうだ
壱与,いよ
壱井,いちい
壱反田,いちほりた
壱宮,いちみや
壱岐,いき,いさき,いちき,いちぎ,いちぬき,いつき
壱岐尾,いきお
壱岐島,いきしま
壱岐本,いきもと
壱岐村,いきむら
壱崎,いちさき,いちざき
壱戸,いちのへ
壱智村,いちむら
壱村,いちむら
壱東,いちとう,いっとう
壱枝,いちえだ
壱柳,いちやなぎ
壱橋,いちはし
壱添,いちぞい,いちぞえ
壱田,いちだ
壱谷,いちたに,いちや
壱貫田,いちかんだ
壱郷,いちごう,いちさと
売井坂,うりいざか,うるいさか,うるいざか
売場,うりば
売島,うるしま
売市,うるいち
売谷,からたに
売豆紀,みずき,めずき,めづき
売野,うりの
売間,うるま
壷,つぼ,つぼさき
壷中,こちゅう,つぼなか
壷井,つぼい
壷倉,つぼくら
壷内,つぼうち
壷坂,つぼさか
壷屋,つぼや
壷山,つぼやま
壷崎,つぼさき
壷川,つぼかわ
壷本,つぼもと
壷林,つぼばやし
壷江,つぼえ
壷河,つぼかわ
壷田,つぼた
壷見,つぼみ
壷谷,つぼや
壷野,つぼの
壷阪,つぼさか
壹ツ石,ひとついし
壹丁,いちちょう
壹内,つぼうち
壹岐,いき,いつき
壹岐尾,いきお
壹崎,いちざき
壹添,いちぞえ
壹町畠,いちまちはた
壹谷,いちたに,いちや
壹貫田,いっかんだ
壺,つぼさき
壺中,こちゅう,つぼなか
壺井,つぼい
壺倉,つぼくら
壺内,つぼうち
壺坂,つぼさか
壺居,つぼい
壺屋,つぼや
壺山,つぼやま
壺岐,つぼき
壺崎,つぼさき
壺川,つぼかわ
壺本,つぼもと
壺林,つぼばやし
壺江,つぼえ
壺河,つぼかわ
壺田,つぼた
壺見,つぼみ
壺谷,つぼたに
壺野,つぼの
壺阪,つぼさか
壽,ことぶき,すさき,すざき,としなが
壽上,すうえ,としがみ
壽原,すはら
壽命,じゅみょう
壽圓,じいん,じゅえん
壽孝,としたか
壽安,すやす
壽山,じゅざん,すやま
壽崎,すさき,すざき
壽嵜,すさき,すざき
壽川,すがわ
壽徳,すとく
壽恵村,すえむら
壽慶,じゆけい
壽時,すどき
壽本,すもと
壽村,すむら
壽松,すまつ
壽松木,すずき
壽柳,すやなぎ
壽永,すなが
壽浅,すあさ
壽海,すうみ
壽満,すみつ
壽田,すだ,すみた,ひさだ
壽盛,すもり
壽福,じゅふく
壽秋,すあき
壽系,じゅけい
壽美,すみ
壽藤,じゆとう
壽見,すみ
壽谷,すたに
壽賀,すが
壽野,じゅの
夏,か,しや,なつ
夏丘,なつおか
夏乃,なつの
夏井,なつい
夏井坂,なついさか,なついざか
夏伐,なつぎり,なつばつ
夏住,なつずみ
夏佐伸,かさのぶ
夏八木,なつやぎ
夏冨,なつとみ
夏凪,なつなぎ
夏刈,なつかり
夏加,なつか
夏原,かはら,なつはら,なつばら
夏厩,なつまや
夏口,なつくち
夏吉,なつよし
夏地,なつじ,なつち
夏坂,なつさか
夏城,なつしろ
夏堀,かほり,かぼり,なつほり,なつぼり
夏妃,なつき
夏子,なつこ
夏宮,なつみや
夏富,なつとみ
夏居,なつい
夏屋,なつや
夏山,かやま,なつやま
夏岸,なつぎし
夏嶋,なつしま
夏川,なつかわ
夏川戸,なつかわど
夏巳,なつみ
夏帆,なつほ
夏成,なつなり
夏戸,なつど
夏掘,なつぼり
夏日,なつひ
夏明,なつあけ
夏木,なつき
夏木瀬,なつきせ
夏本,なつもと
夏村,なつむら
夏束,なつか
夏林,なつばやし
夏栗,なつくり
夏梅,なつうめ
夏森,なつもり
夏樹,なつき
夏水,なつみず
夏江,なつえ
夏池,なついけ
夏沢,なつさわ
夏河,なつかわ
夏沼,なつぬま
夏海,なつうみ,なつみ
夏瀬,なつせ
夏炉庵,かろあん
夏焼,なつやき
夏生,なつき
夏田,なつた,なつだ
夏畑,なつはた,なつばた
夏目,なため,なつめ
夏目田,なつめだ
夏石,なついし
夏神,なつがみ
夏秋,かしゅう,なかば,なつあき
夏稀,なつき
夏空,なつぞら
夏紀,なつき
夏聖,なつみ
夏至,げし
夏芽,なつめ
夏苅,なつかり,なつがり
夏葉,なつば
夏虫,なつむし
夏見,なつみ
夏観,なつみ
夏谷,なつや
夏賀,なつが
夏越,なつこし,なつごえ
夏路,かろ
夏迫,なつさこ
夏邑,なつむら
夏野,なつの
夏間,なつま
夕,ゆう
夕下,ゆうした
夕出,ゆうで
夕向,ゆうむかい
夕島,ゆうじま
夕崎,ゆうざき
夕川,ゆうかわ
夕希,ゆうき
夕張,ゆうばり
夕日,ゆうひ
夕映え,ゆうばえ
夕月,ゆうずき
夕木,ゆうき
夕永,ゆうなが
夕田,ゆうた,ゆうだ
夕紀,ゆうき,ゆき
夕貴,ゆうき,ゆき
夕部,ゆうべ
夕顔,ゆうがお
外,そで,そと,ほか
外ノ岡,とのおか
外ノ池,とのいけ
外ノ沢,そとのさわ
外ノ海,そとのうみ
外ヶ濱,そとがはま
外上,そとうえ,とがみ
外下,そとした
外丸,そとまる,とまる
外久保,そとくぼ
外之内,とのうち
外之原,とのはら
外井,そとい,とい
外京,げきょう
外仮屋,ほかかりや
外余,そとよ
外倉,とくら
外側,とがわ
外内,そとうち,とのうち,とのち
外処,とどころ
外前原,そとまえばら
外前田,ほかまえだ
外勢,そとせ
外原,そとはら
外口,そとぐち,とぐち
外司,げし,そとつかさ
外吉,そときち
外和,そとわ
外和田,そとわだ
外囿,ほかぞの
外園,がいえん,そとその,そとぞの,とその,とぞの,ほかその,ほかぞの
外地,そとち
外垣,そとがき
外城,そとしろ,そとじょう
外城戸,ほかきど
外埼,とざき
外堀,ほかぼり
外塚,そとづか,とずか,とづか,とのずか
外子浦,げしうら
外室,ほかむろ
外宮,そとみや
外尾,そとお,ほかお
外屋,ほかや
外屋敷,そとやしき,ほかやしき
外山,そとやま,とのやま,とやま,ほかやま
外岡,そとおか,とおか,とのおか
外岩戸,ほかいわど
外岩根,といわね
外峯,そとみね
外峰,そとみね
外島,そとしま,そとじま,としま,とじま
外崎,そとさき,そとざき,とさき,とざき,とのさき,とのざき
外嵜,そとさき,そとざき
外嶋,そとじま,としま
外嶌,そとしま
外川,けがわ,げがわ,そとかわ,そとがわ,とかわ,とがわ,とのかわ
外川内,そとかわうち
外希,げき
外平,そとひら
外当,ほかあたり
外恒見,そとかいみ
外戸,がいと,げと
外戸口,けとぐち
外所,そとじょ,そとどころ,とどころ,ほかどころ
外手,そとで
外木,そとき,とのき,とのぎ
外木場,そとこば
外末,とまつ
外本,そともと,ほかもと
外村,そとむら,とのむら,とむら,ほかむら
外松,そとまつ,とまつ
外林,そとばやし
外枦保,そとへぼ
外枷,そとか
外柳,そとやなぎ
外江,そとえ,とのえ
外池,そといけ,といけ,とのいけ,ほかいけ
外沢,そとさわ,そとざわ
外河,とがわ
外波,となみ
外波山,とばやま
外浜,そとはま
外浦,そとうら
外海,そとみ,とのがい
外澤,そとさわ,そとざわ
外濱,そとはま
外瀬,そとせ
外為,がいため
外牧,そとまき
外狩,とがり
外甫木,ほかほのき
外田,そとだ,ほかだ
外町,そとまち
外畑,そとはた,そとばた
外矢,そとや
外石,そといし,といし
外磯,とのいそ
外礒,とのいそ
外種子田,ほかたねだ
外種田,そとたねだ
外窪,そとくぼ
外立,そとだて,はしだち,はしだて
外竹,そとたけ
外筬,そとおさ
外美,そとみ
外義,そとよし
外羽,そとわ
外舘,がいかん,そとたち,そとだて,とたち,とたて,とだて
外良,ういろう,そとりょう
外花,そとはな
外蔵,そとくら
外薗,がいえん,そとその,そとぞの,とその,とぞの,ほかその,ほかぞの
外處,とじょ,とどころ
外裏,そとうら
外西,ほかにし
外見,そとみ
外角,そとかく,そとがく
外記,がき,げき
外谷,そとがや,そとたに,そとだに,そとや,とたに,とだに,とのや,とや,ほかや
外谷地,そとやち
外谷場,とやば
外賀,げか,げが
外赤,ほかあか
外越,そとごし,とごえ
外輪,そとわ
外邨,そとむら,とのむら,とむら,ほかむら
外郎,ういろう
外部,そとべ
外里,とざと
外野,そとの,ほかの
外野村,とのむら
外門,ともん
外間,げま,そとま,とのま,とま,はずま,ほかま
外除,とのけ
外音防,そとおんぼう
外飼,そとがい
外餘,そとよ
外館,そとたて,そとだて,とたち,とだて
外鯨,とくじら
夘,たかき,たかぼう
夘之原,うのはら
夘余野,うよの
夘原,うはら
夘坂,うさか
夘城,うじょう
夘埜,うの
夘山,うやま
夘月,うづき
夘木,うのき
夘本,うもと
夘沢,うさわ
夘津羅,うつら
夘滝,うたき
夘田,うた
夘道,うどう
夘都木,うつき
夘野,うの
夘野木,うのき
多,おお,おおの,くわた,たくや,たざき
多々,ただ
多々井,たたい
多々内,ただうち
多々原,ただはら
多々地,ただち
多々岡,ただおか
多々崎,たださき
多々川,ただかわ
多々木,ただき
多々納,たたの,たたのう,ただの,ただのう
多々羅,たたら
多々美,たたみ
多々良,たたら,ただよし,ただら
多々見,たたみ,ただみ
多々野,たたの,ただの
多ケ谷,たがや
多ヶ谷,たがや
多上,たうえ,たがみ,たのうえ
多並,たなみ
多中,たなか,たなた
多丸,たまる
多久,おおひさ,たく,たひさ
多久佐里,たくさり
多久和,たくわ
多久島,たくしま,たくじま
多久嶋,たくしま
多久田,たくだ
多久美,たくみ
多久見,たくみ
多久野,たくの
多久間,たくま
多井,おおい,たい
多井中,たいなか
多井田,たいだ
多仁,たに
多代,たしろ
多代田,たしろだ
多以良,たいら
多仲,たなか
多伊良,たいら
多伎,たき
多保,たほ,たぼ
多保田,たぼた
多倉,たくら,たぐら,たのくら
多儀,たぎ
多元,たもと
多児,たに
多内,たうち,たない,たのうち
多冨,たとみ,たふ
多出,たいで
多出村,たでむら
多利,だり
多功,たこう
多加,たか
多加井,たかい
多加喜,たかき
多加谷,たがや
多加野,たかの
多勢,たせ,たせい
多原,たはら,たばら,たわら
多口,たぐち,たのくち
多古,たこ
多可,たか
多名井,たない
多名賀,たなか
多名部,たなべ
多吾,たご
多呂,たろ
多和,たわ
多和本,たわもと
多和田,おおわだ,たわた,たわだ
多喜,たき
多喜乃,たきの
多喜井,たきい
多喜代,たきしろ
多喜川,たきかわ,たきがわ
多喜本,たきもと
多喜田,たきた
多喜端,たきばた
多喜野,たきの
多嘉,たが
多嘉与,たかよ
多嘉世,たかよ
多嘉代,たかよ
多嘉余,たかよ
多嘉山,たかやま,もんたねす
多嘉嶺,たかみね
多嘉良,たから
多園,たその
多地,たじ,たち,たぢ
多坂,たさか
多城,たしろ
多堀,たぼり
多多,ただ
多多井,ただい
多多納,ただの,ただのう
多多良,たたら
多多見,たたみ,ただみ
多多野,ただの
多奈村,たなむら
多奈田,たなだ
多奈部,たなべ
多宇,たう
多宮,たみや
多家,たが,たや
多富,たとみ
多寿,たす
多小田,たこだ
多小谷,たこたに
多尾,たお
多尾田,たおた,たおだ
多居,たい
多屋,たや
多山,たやま
多岐,たき,たぎ
多岐川,たきかわ,たきがわ
多岐田,たきた
多岡,たおか
多島,たしま,たじま
多崎,たさき,たざき
多嶋,たしま,たじま
多嶋田,たしまだ
多川,たかわ,たがわ
多巻,たまき
多布,たふ
多幡,たばた
多平,たひら,たびら
多幸,たこう
多幾,たき
多幾山,たきやま
多度,たど
多度津,たどっ,たどつ
多形,たがた
多志賀,たしが
多恵,たえ
多恵馬,たえま
多戸,たど
多持,たもち
多摩,たま
多摩園,たまえん
多摩川,たまがわ
多摩昇,たまのぼり
多斐,たひ,たび
多方,たかた,たがた
多昌,たしょう,たまさ
多智,たち
多智花,たちばな
多曽田,たそだ
多曾田,たそだ
多月,たずき
多木,おおき,たき,たぎ
多本,たもと
多村,たむら
多束,たとう
多東,たとう
多松,たまつ
多林,たばやし
多根,たね
多根井,たねい
多桐,たぎり
多森,たもり
多橋,たはし
多次,たじ
多次貝,たじがい
多武,たぶ
多武保,たむほ,たむぼ,たんぼ
多武良,たむら
多母髪,たぼがみ
多比,たび
多比木,たびき
多比羅,たひら
多比良,たいら,たひら,たびら
多気,たき
多気田,たけだ
多氣,たき
多氣田,たけだ
多水,たみず
多江,たえ
多沢,たざわ
多河,たかわ,たがわ
多治家,たじや
多治川,たじかわ
多治比,たじひ
多治美,たじみ
多治見,たじみ
多津,たづ
多津田,たった
多海本,たみもと
多淵,たぶち
多渕,たふち,たぶち
多渡,たわた,たわたり
多湖,たこ,たご,たごう
多満井,たまい
多満城,たまき
多満里,たまり
多澤,たざわ
多瀬,たせ
多瀬田,たせだ
多炭,たすみ
多熊,たくま,たぐま
多牧,たまき
多田,おおた,たた,ただ,だだ
多田久,ただひさ
多田井,たたい,ただい
多田元,ただもと
多田内,ただうち
多田出,ただいで
多田尾,ただお
多田川,ただかわ
多田村,ただむら
多田森,ただもり
多田津,ただつ
多田納,たたの,ただの
多田羅,たたら,ただら
多田良,ただら
多田見,たたみ,ただみ
多田谷,ただたに
多田野,たたの,ただの
多田隅,ただくま
多田隈,ただくま
多畑,たばた
多留,たる
多留木,たるき
多留美,たるみ
多留見,たるみ
多留谷,たるや
多皮,たがわ
多真,おおま
多矢,たや
多知,たち
多知川,たちかわ
多知花,たちばな
多石,たいし
多神田,たじんだ
多祢,たね
多禰,たね
多積,たずみ,たつみ
多端,たばた
多筥,たばこ
多米,ため
多米田,ためだ
多紀,たき
多納,たのう
多羅,たら
多羅尾,たらお
多羅岡,たらおか
多羅沢,たらさわ
多羅間,たらま
多羽本,たばもと
多羽田,たばた
多聞,たもん
多胡,おおこ,たこ,たご,だいご
多胡島,たこしま
多良,おおよし,たら
多良木,たらき
多良見,たらみ
多良部,たらべ
多良間,たらま
多芸,たげい
多苗,たなえ
多菊,たぎく
多葉,たぱ
多葉井,たばい
多葉村,たばむら
多葉田,たばた
多藤,たとう
多衛野,たえの
多見,たみ
多見谷,たみゃ
多計,たけ
多記,たき
多谷,たたに,ただに,たや
多谷本,たやもと
多貝,たがい
多賀,おおが,たか,たが
多賀井,たがい
多賀名,たがな
多賀堂,たがどう
多賀屋,たがや
多賀本,たがもと
多賀根,たがね
多賀社,たがやしろ
多賀竜,たがりゅう
多賀糸,たがいと
多賀能,たがの
多賀良,たから
多賀谷,たかや,たがたに,たがや
多賀部,たかべ
多賀野,たかの,たがの
多賀須,たかす
多辺,たなへ,たなべ,たなぺ,たべ
多辺田,たべた
多造,たぞう
多邊田,たべた
多邑,たむら
多那,たな
多邨,たむら
多郎畑,たろはた
多部,たべ
多部田,たべた
多里,たさと,たざと
多野,おおの,たの
多野木,たのぎ
多鍋,たなべ
多長,たなが
多門,たもん
多門寺,たもんじ
多門院,たもんいん
多間,たざま
多間田,たまた
多陀,ただ
多附,たつき,たづけ
多須,たす
多飛市,たびいち
多飯,おおい
多養,たよう
多鹿,おうが,たか,たじか
夛々野,たたの,ただの
夛ケ谷,たがや
夛久,たく
夛久和,たくわ
夛久島,たくしま,たくじま
夛利,たり
夛勢,たせ
夛和田,おおわだ,たわだ
夛山,たやま
夛島,たじま
夛川,たがわ
夛本,たもと
夛村,たむら
夛治川,たじかわ
夛治見,たじみ
夛湖,たこ
夛田,ただ
夛田隅,ただすみ
夛胡,たこ
夛葉田,たばた
夛賀,たが
夛賀谷,たがたに
夛賀野,たがの
夛那,たな
夛部田,たべた
夜久,やきゅう,やく,やどめ,やひさ,よひさ,よるひさ
夜光,やこう
夜宮,よみや
夜山,よやま
夜差,やさ,やさし,よさ
夜明,よあけ
夜桜,よざくら
夜船,よふね
夜西,やにし
夜見,よみ
夜部,やべ
夜野,よの
夜陣,やじん
夜雪庵,やせつあん
夜須,やす
夜香,やこう
夢,ゆめ
夢乃,ゆめの
夢前,ゆめさき
夢園,ゆめぞの
夢寺,ゆめでら
夢川,ゆめかわ
夢座,ゆめざ
夢想,むそう
夢我,むが
夢月,むづき,ゆめつき
夢月亭,むげつてい
夢村,ゆめむら
夢枕,ゆめまくら
夢生,ゆな,ゆめお
夢田,ゆめた,ゆめだ
夢窓,むそう
夢藤,むとう
夢路,ゆめじ
夢野,ゆめの
大,おお,おおがみ,おおくわ,おおさき,おおざき,おおし,おおすぎ,おおすみ,おおたか,おおだか,おおつる,おおの,おおはま,おおやぎ,おおやなぎ,おさき,おたか,おやぎ,だい,だいじょう,はじめ,まさる
大々保,おおくぼ
大エ原,だいくばら
大ケ島,おおがしま
大ケ瀬,おおがせ
大ケ生,おおがゆう
大ケ谷,おおがや
大ケ谷内,おおがやち
大さき,おおさき
大たき,おおたき
大ツ,おおつ
大の,おおの
大ノ上,おおのうえ
大ノ国,おおのくに
大ノ嶌,おおのしま
大ノ川,おおのかわ
大ノ木,おおのき
大ノ森,おおのもり
大ノ浦,おおのうら
大ノ海,おおのうみ
大ノ濱,おおのはま
大ノ里,おおのさと
大ノ高,おおのたか
大ヶ島,おおがしま
大一,おおいち
大丁,おおちょう,だいちょう
大七,おおなな
大万,おおまん
大丈,おおじょう,おおたけ
大三,おおみ
大三和,おおみわ
大三島,おおみしま,おおみじま
大三川,おおみかわ
大三輪,おおみわ
大上,おおうえ,おおかみ,おおがみ,だいじょう
大上免,だいじょうめん
大上戸,おおかみと,おおかみど,だいじょうご
大上野,おおうえの
大下,おおした,おおしも,おおじた,おおじも
大下倉,おおしたくら,たかくら,だいかぐら
大下内,おおしたない
大下本,おおしたもと
大下毛,おおしも
大下田,おおしもだ
大世古,おおせこ
大世戸,おおせと
大世渡,おおせと
大丘,おおおか
大並,おおなみ
大中,おおなか,だいちゅう
大中原,おおなかはら
大中臣,おおなかとみ
大中道,おおなかどう
大串,おうぐし,おおくし,おおぐし,おぐし
大丸,おおまる,だいまる
大丸谷,だいまるや
大丹生,おおにう
大主,おおぬし
大乃国,おおのくに
大乃浦,おおのうら
大乃海,おおのうみ
大乃花,おおのはな
大久,おおく,おおぐ,おおひさ,おひさ,だいく,だいひさ
大久佐,おおくさ
大久保,おおくほ,おおくぼ,おおぐぼ,おくぼ
大久利,おおくり
大久原,おおくはら
大久村,おくむら
大久根,おおくね
大久津,おおくつ
大久田,おおくだ
大久路,おおくろ
大久間,おおくま,だいくま
大之木,おおのき,おおのぎ
大乗,おおのり
大乗坊,だいじょう
大乗寺,だいじょうじ
大乘,おおのり
大乙,おおおつ
大九,おおく
大乢,おおたわ
大亀,おおかめ,おおがめ,おおき,おおみか
大二,おおに
大五,おおご
大井,おおい,おひ
大井上,おおいがみ,おおいのうえ
大井屋,おおいや
大井山,おおいやま
大井川,おおいかわ,おおいがわ
大井戸,おおいど
大井手,おおいで
大井津,おおいつ
大井田,おおいだ
大亦,おおまた
大京,だいきょう
大京寺,だいきょうじ,だいきようじ
大人,おおひと
大人形,おおひとかた,おおひとがた
大仁,おおひと,だいに,だいにん
大仁田,おおにた,おおにたた,おおにだ,おおひとだ
大今,おおいま
大仏,おおさらぎ,おおらぎ,おさらぎ,だいぶつ
大仙,おおせん
大代,おおしろ,おおじろ,おおだい,たしろ,だいだい,だいよ
大仲,おおなか
大伊,おおい
大伍,だいご
大伏,おおふせ,おおぶし
大休,たいきゅう
大休寺,だいきゅうじ
大伝,おおでん
大伯,おおはく
大伴,おおとも,おおども,おおはん,おおばん,おととも,おね
大位山,おおいやま
大住,おおすみ,おおすも,おおずみ
大住元,おおすみもと
大佐,おおさ
大佐々,おおささ
大佐古,おおさこ,おおざこ
大佐和,おおさわ
大佐田,おおさだ
大佐賀,おおさが
大佛,おおふつ,おさらぎ
大作,おおさく,おおざく,おおつくり,おおはぎ,たいさく,だいさく
大供,おおとも
大依,おおい
大保,おおほ,おおぼ,おおやす,だいほ,だいぼ
大保古,おおほこ
大保寺,たいほじ
大保方,おぼかた
大保木,おおぼき,おおぼぎ
大保貝,おおがい
大信,おおのぶ
大信田,おおしだ,おおしのだ,おおしんだ,おおのぶた
大俣,おおまた
大俵,おおたわら
大倉,お,おおくら,おおぐら,おくら,くら
大倉野,おおくらの
大値,だいち
大倭,おおやまと,やまと
大健,おおだて
大傍,おおそば
大備,おおび
大傳,おおでん,だいでん
大儀,おおぎ
大儀田,おおぎた
大儀見,おおぎみ
大元,おおもと
大兄,おおえ
大先,おおさき
大光,おおみつ,だいこう
大光寺,だいこうじ
大光明,おおみや
大入,おおいり
大八,おおはち
大八児,おおやご
大八木,おおやき,おおやぎ
大八洲,おおやしま
大六,だいろく
大六野,だいろくの
大具,おおぐ
大兼,おおかね,おおがね
大兼久,おおがねく
大兼政,おおかねま,おおかねまさ
大内,おううち,おうち,おおうち,おおた,おおち
大内山,おおうちやま
大内田,おうちだ,おおうちだ
大内蔵,おおうちくら
大円,おおえん
大円坊,だいえんぼ
大冨,おおふじ
大冨部,おおとんべ
大出,おおいで,おおで
大出水,おおいでみず,おおでみず
大刀,だいとう
大刀光,たちひかり
大刀川,たちかわ
大刀掛,たちかけ
大刀洗,たちあらい
大刀禰,たちね
大刃,だいとう
大分,おおいた,おおわけ
大切,おおぎり
大判,おおばん
大利,おおと,おおとし,おおり,たいり,だいり
大削,おおげ
大前,おおさき,おおざき,おおまえ,だいぜん
大前田,おおまえだ
大副,おおすけ,おおそえ,おおその,おおぞい,おおぞえ
大割,おおわり
大力,おおりき,だいりき
大力屋,たいりきや
大加,おおか,おおが
大加戸,おおかど
大加瀬,おおかせ
大加田,おおかた
大加茂,おおかも
大勇,おおいさみ
大勇地,だいゆうち
大勇武,だいゆうぶ
大動,おおどう
大務,おおつか,おおつかさ
大勝,おおかち,おおかつ,おおがち,おおしょう,たいしょう,だいかつ
大勝丸,だいかつまる
大勢,おおせ
大勢待,おおせまち
大勢持,おおせもち
大勢登,おおせと
大北,おおきた,おおぎた
大千里,おおちり
大升,おおます
大半場,おおはんば
大協,だいきょう
大南,おおなみ,おおなん,おおみなみ,だいなん
大即,おおつき
大原,おおはら,おおばら,おはら
大原関,おおはらぜき
大厨,おおくり
大厩,おおまや
大参,おおさん,おおじん,おおまいり,おおみ,だいさん
大又,おおまた
大友,おおと,おおとも,おおども,おおもと
大取,おおとり
大受,だいじゅ
大口,おおくち,おおぐち,おぐち,だいぐち
大古,おおこ,おおご,おおふる,たいこ,だいご
大古場,おおこば
大古戸,おおぶると
大古殿,おおこでん,おおふるとん,おおふるどの,おおふるどん
大古瀬,おおこせ,おおごせ
大古田,おおこだ,おおふるた
大古知,おおこち
大古閑,おおこが
大句,だいく
大可,おおか
大台,おおだい
大司,おおじ,おおつかさ,たいし
大吉,おおよし,だいきち
大同,おおどう,だいどう
大名,おおな,おおみょう
大名門,おおなかど
大后,だいご
大向,おおさき,おおむかい,おおむき,おおむく,おおむこう,おむかい
大向井,おおむかい
大向江,おおむかえ
大吹,おおぶき
大呂,おおろ
大呑,おおのみ
大周,たいしゅう
大味,おおみ
大味谷,おおみや
大和,おおかず,おおやまと,おおわ,おわ,たいわ,だいわ,ともかず,ひろかず,まさかず,やまと,やまとざき
大和久,おおわく,おおわぐ,おおわひさ,おわく,やまく,やまとひさ
大和地,やまとじ,やまとぢ
大和屋,やまとや
大和山,おおわやま
大和崎,やまとざき
大和川,やまとがわ
大和杉,やまとすぎ
大和泉,おおわいずみ
大和瀬,おおわせ
大和田,おおわた,おおわだ,おわだ,やまとだ
大和田野,おおわだの,おわだの
大和矢,やまとや
大和谷,おわたに,やまとだに,やまとや
大和貴,おおわき
大和錦,やまとにしき
大咲,おおさき
大品畑,おおしなはた
大品畠,おおしなばたけ
大唐,おおから,だいとう,もろこし
大善,おおよし,だいぜん
大喜,おおき,だいき,だいご
大喜多,おおきた,おおぎた,おきた
大喜戸,おおきど
大喜田,おおきた
大嗚門,おおなると
大嘉,おおか
大嘉田,おおかだ
大器,おおしな
大四,おおよん
大図,おおず,おおつ,おおづ,おおと
大国,おおくに,おおぐに,だいこく
大国護,おおくが
大国谷,おおくにや
大囿,おおぞの
大圃,おおはた
大國,おおくに,おおぐに
大國谷,おおくにたに
大園,おおその,おおぞの
大圓,おおえん
大圖,おおず
大土,おおつち,おおづち,おおと,おおど
大土井,おおどい
大土居,おおどい
大土崎,おおとざき
大土嵜,おおとざき
大土手,おおどて
大土橋,おおどばし
大在,おおざい
大在家,おおざいけ
大地,おおじ,おおち,だいじ,だいち
大地原,おおじはら,おおちはら
大地山,おおちやま
大地本,おおじもと
大坂,おおさか,おおざか,おさか
大坂家,おおさかや
大坂屋,おおさかや
大坂谷,おおさかや
大坂部,おおさかべ
大坂間,おおさかま
大坊,おおほう,おおぼう,たいぼう,だいほう,だいぼう
大坐畠,おおざはた
大坪,おおつぼ,おつぼ
大垣,おおかき,おおがき,おがき
大垣内,おおがいと
大垰,おおたお
大城,えんりけ,おうしろ,おおき,おおぎ,おおぐすく,おおしろ,おおじろ,おぐすく,おしろ,たいき,たいせい,だいき,だいじょう
大城屋,おおしろや
大城戸,おおきど,おおしど,おおしろと,おおしろど,おおじょうど,おおむらど
大城谷,おおぎたに,おおぎだに
大埜,おおの
大埜木,おおのぎ
大埜間,おおのま
大埴,おおはに
大基,おおき
大埼,おおさき
大堀,おおほり,おおぼり
大堂,おおどう,だいどう
大堅,おおかた,おおの
大堤,おおつつみ,おおづつみ
大堰,おおい,おおせき,おおせぎ,おおぜき
大場,おうば,おおば,おば,だいじょう
大場沢,おおばざわ
大堺,おおさかい,おおざかい
大塔,だいとう
大塘,おおとう,おおども
大塚,おおつか,おおづか,おつか
大塩,おおしお,おおじお
大塲,おおば
大塵,おおちり
大境,おおさかい
大増,おおます
大墨,おおすみ
大墳,おおつか
大壁,おおかべ
大士,だいし
大壷,おおつぼ
大壽美,おおすみ
大壽賀,おおすが
大多,おおた
大多和,おおたかず,おおたわ,おおわだ
大多喜,おおたき
大多尾,おおたお
大多新,おおたに
大多田,おおただ
大多賀,おおたが
大夛,おおた
大夛和,おおたわ
大天,だいてん
大天山,だいてんざん
大天霄,だいてんしょう
